,GRAVEDAD,FECHA,AÑO,HORA,JORNADA,DIA_SEMANA,BARRIO-CORREGIMIENTO-VIA,DIRECCION,ZONA,AUTORIDAD,LAT,LONG,CONDICION_VICTIMA,LESIONADO,HOMICIDIOS,TIPO_ACCIDENTE,HIPOTESIS,GENERO,CLINICA,CLASE_VEHICULO,MARCA,MATRICULA,TIPO DE SERVICIO,EMPRESA
1313,DAÑOS,2021-08-09,2021,19:00,NOCHE,LUNES,ALTAMIRA,CARRERA 23 CALLE 45-24,URBANA,TECNICO,3.5403,-76.293,NO APLICA,NO APLICA,NO APLICA,CHOQUE,NO APLICA 2021,MASCULINO,NO APLICA,AUTOMOVIL,SUZUKI,NO APLICA 2021,PARTICULAR,NO APLICA
1314,DAÑOS,2021-08-09,2021,19:00,NOCHE,LUNES,ALTAMIRA,CARRERA 23 CALLE 45-24,URBANA,TECNICO,3.5403,-76.293,NO APLICA,NO APLICA,NO APLICA,CHOQUE,NO APLICA 2021,FEMENINA,NO APLICA,AUTOMOVIL,KIA,NO APLICA 2021,PARTICULAR,NO APLICA
1315,DAÑOS,2021-08-10,2021,11:05,MAÑANA,MARTES,VERSALLES,CALLE 42 CARRERA 28,URBANA,TECNICO,3.53787,-76.29752,NO APLICA,NO APLICA,NO APLICA,CHOQUE,NO APLICA 2021,MASCULINO,NO APLICA,CAMIONETA,CHERY,NO APLICA 2021,PARTICULAR,NO APLICA
1316,DAÑOS,2021-08-10,2021,11:05,MAÑANA,MARTES,VERSALLES,CALLE 42 CARRERA 28,URBANA,TECNICO,3.53787,-76.29752,NO APLICA,NO APLICA,NO APLICA,CHOQUE,NO APLICA 2021,MASCULINO,NO APLICA,BUS,CHEVROLET,NO APLICA 2021,PUBLICO,NO APLICA
1317,HERIDOS,2021-08-09,2021,20:40,NOCHE,LUNES,TRINIDAD,CALLE 28 CARRERA 24,URBANA,TECNICO,3.52483,-76.2958,NO APLICA,NO APLICA,NO APLICA,CHOQUE,NO APLICA 2021,MASCULINO,NO APLICA,AUTOMOVIL,HYUNDAI,NO APLICA 2021,PARTICULAR,NO APLICA
1318,HERIDOS,2021-08-09,2021,20:40,NOCHE,LUNES,TRINIDAD,CALLE 28 CARRERA 24,URBANA,TECNICO,3.52483,-76.2958,NO APLICA,NO APLICA,NO APLICA,CHOQUE,NO APLICA 2021,MASCULINO,NO APLICA,AUTOMOVIL,CHEVROLET,NO APLICA 2021,PARTICULAR,NO APLICA
1319,HERIDOS,2021-08-09,2021,20:40,NOCHE,LUNES,TRINIDAD,CALLE 28 CARRERA 24,URBANA,TECNICO,3.52483,-76.2958,ACOMPAÑANTE CONDUCTOR,1,NO APLICA,CHOQUE,NO APLICA 2021,FEMENINA,NO APLICA,NO APLICA,NO APLICA,NO APLICA 2021,NO APLICA,NO APLICA
1320,HERIDOS,2021-08-10,2021,15:00,TARDE,MARTES,ZAMORANO,CALLE 67 CARRERA 37-63,URBANA,TECNICO,3.56131,-76.30258,MOTOCICLISTA,1,NO APLICA,CHOQUE,NO APLICA 2021,MASCULINO,PALMA,MOTO,YAMAHA,NO APLICA 2021,PARTICULAR,NO APLICA
1321,HERIDOS,2021-08-10,2021,15:00,TARDE,MARTES,ZAMORANO,CALLE 67 CARRERA 37-63,URBANA,TECNICO,3.56131,-76.30258,MOTOCICLISTA,1,NO APLICA,CHOQUE,NO APLICA 2021,FEMENINA,PALMA,MOTO,AKT,NO APLICA 2021,PARTICULAR,NO APLICA
1322,HERIDOS,2021-08-10,2021,15:00,TARDE,MARTES,ZAMORANO,CALLE 67 CARRERA 37-63,URBANA,TECNICO,3.56131,-76.30258,ACOMPAÑANTE MOTOCICLISTA,1,NO APLICA,CHOQUE,NO APLICA 2021,FEMENINA,PALMA,NO APLICA,NO APLICA,NO APLICA 2021,NO APLICA,NO APLICA
